Ddate,INFLOW - IRAN,OUTFLOW - IRAN,INFLOW - PAK,OUTFLOW - PAK,TOTAL - INFLOW,TOTAL - OUTFLOW
2024-01-01,147105,147105,120662,120662,267767,267767
2024-02-01,180589,180589,137583,137583,318172,318172
2024-03-01,239717,239717,148674,148674,388391,388391
2024-04-01,247739,247739,154989,154989,402728,402728
2024-05-01,319697,319697,196517,196517,516214,516214
2024-06-01,294863,294863,183749,183749,478612,478612
2024-07-01,314995,314995,259782,259782,574777,574777
2024-08-01,282808,282808,291912,291912,574720,574720
2024-09-01,375893,375893,235075,235075,610968,610968
2024-10-01,351525,351525,250681,250681,602206,602206
2024-11-01,320001,320001,233740,233740,553741,553741
2024-12-01,311529,311529,255935,255935,567464,567464
2025-01-01,316245,316245,272012,272012,588257,588257
2025-02-01,287868,287868,199647,199647,487515,487515
2025-03-01,308332,308332,174436,174436,482768,482768
2025-04-01,171350,500000,91677,91677,263027,591677

